Date,OutsideMin,OutsideMax
2026-06-29,23.8,40.1
2026-06-30,23.3,40.8
2026-07-01,24.1,36.8
2026-07-02,20.0,33.1
2026-07-03,16.7,32.8
2026-07-04,14.0,29.4
2026-07-05,17.4,29.8
2026-07-06,16.3,28.6
2026-07-07,17.0,31.6
2026-07-08,16.4,28.8
2026-07-09,12.7,29.4
2026-07-10,14.4,30.2
2026-07-11,14.8,32.6
2026-07-12,16.9,29.4
2026-07-13,15.6,32.0
2026-07-14,16.6,35.0
2026-07-15,16.8,32.8
2026-07-16,20.6,34.2
2026-07-17,19.9,37.4
2026-07-18,19.4,32.9
2026-07-19,20.0,34.0
2026-07-20,18.7,30.5
2026-07-21,14.6,29.3
2026-07-22,13.1,29.4
2026-07-23,13.9,27.7
2026-07-24,13.3,27.8
2026-07-25,11.9,30
2026-07-26,23.5,33.6
2026-07-28,18.9,30.5
2026-07-29,16.9,34.2
2026-07-30,20.1,36.8
2026-07-31,20.7,38.4
2026-08-01,21.7,39.3
2026-08-02,27.8,40.8
2026-08-03,24.0,40.1
2026-08-04,24.0,39.8
2026-08-05,23.2,41.2
2026-08-06,22.4,41.3
2026-08-07,21.8,37.0
2026-08-08,19.4,32.6
2026-08-09,16.8,33.1
2026-08-10,18.1,36.1
2026-08-11,21.3,37.9
2026-08-12,16.9,31.4
2026-08-13,14.9,31.1
2026-08-14,15.6,32.1
2026-08-15,19.8,33.9
2026-08-16,18.9,35.3
2026-08-17,18.5,33.7
